RID,rname,cuisine
566,Ritwika s Kitchen,"Indian,Chinese"
567,Grill Nation,"Chinese,Combo"
568,Belly In Bowl,Chinese
569,Sparks- The food hub,Indian
570,JOY RAM FAST FOOD,"Indian,Chinese"
571,7 s Chai,"Beverages,Snacks"
572,Adi Sankar Hotel,North Indian
573,Devi- Golgappa Chat,"Chaat,Italian"
574,FOOD CENTRE,"North Indian,Thalis"
575,Zaika Restaurant,North Indian
576,Kebab Ghar,Kebabs
577,CILANTRO Multi Cuisine Restaurant,"Thai,Indian"
578,Cholo Abar Khai,"Indian,Chinese"
579,Pork Hut,Indian
580,THE SERIAL GRILLER,"Biryani,Chinese"
581,Rahul fast Food Egg Cake,Fast Food
582,Hungrilla Vegan (Pure Veg),"Indian,Bengali"
583,High Tree,Indian
584,Baku Tiffin House,"Indian,Biryani"
585,Domino's Pizza,Pizzas
586,Debbarma Food Corner,North Eastern
587,CHATHATAK (A COMPLETE TRIBAL FOOD),North Eastern
588,Aurum,"Snacks,Indian"
589,APARNA TIFIN & FASTFOOD,"Chinese,Thalis"
590,"Khunti	Karai",Indian
591,Pork Lovers,"Biryani,Indian"
592,Maa Saradar Ranna Ghor,"Indian,Snacks"
593,Food Plaza,"Chinese,Mughlai"
594,BONGO ROSH,"North Indian,Chinese"
595,Chai Sutta Bar,"Beverages,Fast Food"
596,SKF FOOD WORLD,"Indian,Seafood"
597,Mirch Masala Fast food,"Chinese,Indian"
598,GHARUA FAST FOOD,"Biryani,Chinese"
599,Error 404,"Snacks,Chaat"
600,Dakshin Bharat,"Indian,Chinese"
601,Rock N Roll,"North Indian,Chinese"
602,HRM Cloud Kitchen,"North Indian,Chinese"
603,TryMe,"Indian,Chinese"
604,Coffee tea and me,Cafe
605,Hotel VIP International Agartala,"Biryani,Kebabs"
606,Momo Magic Cafe (Sankar Chowmuni),"Indian,Chinese"
607,Food Delight,Chinese
608,Sherowali Sweets and Fast Food,Desserts
609,ANNAPURNA FAST FOOD CENTER,"Biryani,North Indian"
610,ONE BITE  - Agartala,"Pizzas,American"
611,Smooth Brew Cafe,"Bakery,Indian"
612,Dawat,"Kebabs,Biryani"
613,Misti Pan,Desserts
614,Green House,Indian
615,Rajbir Restaurant,Indian
616,Quick Bites,"Snacks,Mughlai"
617,FULL HOUSE - AQUILARIA CLUBHOUSE,"Chinese,Indian"
618,AMRITA FAST FOOD CENTRE,Snacks
619,TeaoOze (The snacks bar),"Snacks,Chinese"
620,HML Rooftop Restaurant,"Chinese,Biryani"
